molid,identifiere,MWC01,MWC02,MWC03,MWC04,MWC05,MWC06,MWC07,MWC08,MWC09,MWC10,TWC,SRW01,SRW02,SRW03,SRW04,SRW05,SRW06,SRW07,SRW08,SRW09,SRW10,MPC01,MPC02,MPC03,MPC04,MPC05,MPC06,MPC07,MPC08,MPC09,MPC10,piPC01,piPC02,piPC03,piPC04,piPC05,piPC06,piPC07,piPC08,piPC09,piPC10,TPC,piID,PCR,PCD,CID,BID
915,C4H10S2,5.0,2.944,3.4969999999999999,4.0780000000000003,4.6539999999999999,5.242,5.8259999999999996,6.415,7.0019999999999998,7.5910000000000002,58.249000000000002,6.0,10.0,0.0,26.0,0.0,76.0,0.0,234.0,0.0,740.0,5.0,4.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.792,1.609,1.3859999999999999,1.099,0.69299999999999995,0.0,0.0,0.0,0.0,0.0,12.579000000000001,12.579000000000001,1.0,0.0,10.839,6.5090000000000003
916,C11H14O3,15.0,4.2629999999999999,5.0810000000000004,5.9320000000000004,6.7720000000000002,7.6299999999999999,8.4779999999999998,9.3390000000000004,10.191000000000001,11.053000000000001,97.739000000000004,14.0,30.0,0.0,110.0,10.0,480.0,98.0,2278.0,720.0,11350.0,15.0,20.0,25.0,31.0,34.0,34.0,36.0,35.0,19.0,12.0,2.944,3.4500000000000002,3.9369999999999998,4.4349999999999996,4.8860000000000001,4.9610000000000003,5.0949999999999998,5.1669999999999998,4.3860000000000001,3.8879999999999999,49.585000000000001,63.058,1.272,13.473000000000001,28.280999999999999,14.371
917,C12H22O2,14.0,4.2629999999999999,5.0810000000000004,5.9939999999999998,6.8600000000000003,7.7670000000000003,8.6489999999999991,9.5510000000000002,10.44,11.34,97.944999999999993,14.0,28.0,0.0,112.0,0.0,544.0,0.0,2920.0,0.0,16528.0,14.0,21.0,24.0,27.0,28.0,16.0,12.0,4.0,0.0,0.0,2.7730000000000001,3.1779999999999999,3.258,3.4340000000000002,3.5259999999999998,2.944,2.7080000000000002,1.946,0.0,0.0,36.725000000000001,37.767000000000003,1.028,1.042,26.928000000000001,14.416
918,C2H4O2,3.0,2.3980000000000001,2.8330000000000002,3.2959999999999998,3.7610000000000001,4.234,4.71,5.1870000000000003,5.6660000000000004,6.1459999999999999,45.231999999999999,4.0,6.0,0.0,14.0,0.0,36.0,0.0,94.0,0.0,246.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.609,1.3859999999999999,1.099,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.1779999999999999,8.0939999999999994,1.1279999999999999,0.91600000000000004,6.8710000000000004,4.7709999999999999
919,C4H12N2,5.0,2.944,3.4969999999999999,4.0780000000000003,4.6539999999999999,5.242,5.8259999999999996,6.415,7.0019999999999998,7.5910000000000002,58.249000000000002,6.0,10.0,0.0,26.0,0.0,76.0,0.0,234.0,0.0,740.0,5.0,4.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.792,1.609,1.3859999999999999,1.099,0.69299999999999995,0.0,0.0,0.0,0.0,0.0,12.579000000000001,12.579000000000001,1.0,0.0,10.839,6.5090000000000003
920,H3N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
921,C5H14N2,6.0,3.1349999999999998,3.714,4.3170000000000002,4.9199999999999999,5.5330000000000004,6.1420000000000003,6.758,7.3680000000000003,7.9850000000000003,62.874000000000002,7.0,12.0,0.0,32.0,0.0,96.0,0.0,304.0,0.0,992.0,6.0,5.0,4.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,1.946,1.792,1.609,1.3859999999999999,1.099,0.69299999999999995,0.0,0.0,0.0,0.0,15.525,15.525,1.0,0.0,12.834,7.4349999999999996
922,C2H7N,2.0,1.946,2.1970000000000001,2.5649999999999999,2.8330000000000002,3.2189999999999999,3.4969999999999999,3.8919999999999999,4.1740000000000004,4.5750000000000002,33.898000000000003,3.0,4.0,0.0,8.0,0.0,16.0,0.0,32.0,0.0,64.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.099,0.69299999999999995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.7919999999999998,4.7919999999999998,1.0,0.0,4.9139999999999997,3.9830000000000001
923,C2H7ON,3.0,2.3980000000000001,2.8330000000000002,3.2959999999999998,3.7610000000000001,4.234,4.71,5.1870000000000003,5.6660000000000004,6.1459999999999999,45.231999999999999,4.0,6.0,0.0,14.0,0.0,36.0,0.0,94.0,0.0,246.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3859999999999999,1.099,0.69299999999999995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.1779999999999999,7.1779999999999999,1.0,0.0,6.8710000000000004,4.7709999999999999
924,C7H17N,7.0,3.2959999999999998,3.8919999999999999,4.5110000000000001,5.1299999999999999,5.7590000000000003,6.3849999999999998,7.0170000000000003,7.6449999999999996,8.2769999999999992,66.912000000000006,8.0,14.0,0.0,38.0,0.0,116.0,0.0,374.0,0.0,1244.0,7.0,6.0,5.0,4.0,3.0,2.0,1.0,0.0,0.0,0.0,2.0790000000000002,1.946,1.792,1.609,1.3859999999999999,1.099,0.69299999999999995,0.0,0.0,0.0,18.605,18.605,1.0,0.0,14.831,8.3800000000000008
