molID,identifier,"('THREEDMORSE', 'Mor04v')","('TOPOLOGICAL', 'MAXDN')","('THREEDMORSE', 'Mor32m')","('ATOMCENTRED_FRAGMENTS', 'O-057')","('GEOMETRICAL', 'AROM')","('THREEDMORSE', 'Mor25m')","('EIGENVALUE_INDICES', 'SEige')","('ATOMCENTRED_FRAGMENTS', 'C-027')","('GEOMETRICAL', 'DISPm')","('THREEDMORSE', 'Mor08v')","('GETAWAY', 'R1e+')","('THREEDMORSE', 'Mor25e')","('GETAWAY', 'HATS6m')","('EDGE_ADJACENCY_INDICES', 'EEig11r')","('BURDEN_EIGENVALUES_DESCRIPTORS', 'BELm8')","('GEOMETRICAL', 'DISPe')","('WHIM', 'P1s')","('ATOMCENTRED_FRAGMENTS', 'C-040')","('CONSTITUTIONAL', 'nBnz')","('TWOD_AUTOCORRELATIONS', 'GATS1m')","('TOPOLOGICAL_CHARGE_INDICES', 'JGT')","('FUNCTIONAL_GROUP_COUNTS', 'nArOH')","('EDGE_ADJACENCY_INDICES', 'EEig12x')","('ATOMCENTRED_FRAGMENTS', 'N-075')","('FUNCTIONAL_GROUP_COUNTS', 'nRCOOH')","('FUNCTIONAL_GROUP_COUNTS', 'nCp')","('GETAWAY', 'R2p')","('TOPOLOGICAL', 'Jhetm')","('WHIM', 'G1m')","('GEOMETRICAL', 'SPAM')","('CONSTITUTIONAL', 'nDB')","('GETAWAY', 'R2m+')"
633,none,-0.51400000000000001,0.64800000000000002,-0.188,0.0,0.94099999999999995,0.113,0.318,0.0,7.4000000000000004,0.38900000000000001,0.17299999999999999,0.74099999999999999,0.080000000000000002,0.0,0.0,0.246,0.89900000000000002,0.0,0.0,1.044,0.38600000000000001,0.0,0.0,0.0,0.0,2.0,0.73499999999999999,3.1419999999999999,0.183,0.46800000000000003,0.0,0.062
634,none,-0.59599999999999997,1.6990000000000001,-0.126,0.0,0.95199999999999996,0.11899999999999999,0.49299999999999999,0.0,2.6930000000000001,0.081000000000000003,0.221,0.35999999999999999,0.0050000000000000001,0.0,0.0,0.11,0.75600000000000001,0.0,0.0,0.875,0.38500000000000001,0.0,0.0,0.0,0.0,1.0,0.47799999999999998,3.1589999999999998,0.20799999999999999,0.49099999999999999,1.0,0.084000000000000005
635,none,-0.40699999999999997,1.236,0.051999999999999998,0.0,0.0,0.059999999999999998,0.247,0.0,11.996,0.090999999999999998,0.20000000000000001,0.32700000000000001,0.058000000000000003,0.0,0.0,0.34300000000000003,0.97999999999999998,0.0,0.0,0.57099999999999995,0.192,0.0,0.0,0.0,0.0,1.0,0.54200000000000004,3.2989999999999999,0.23000000000000001,0.52900000000000003,3.0,0.069000000000000006
636,none,-0.158,1.1850000000000001,0.056000000000000001,0.0,0.0,-0.052999999999999999,0.247,0.0,13.292999999999999,0.057000000000000002,0.19500000000000001,0.27400000000000002,0.048000000000000001,0.0,0.0,0.33700000000000002,0.96999999999999997,0.0,0.0,0.57099999999999995,0.192,0.0,0.0,0.0,0.0,1.0,0.55400000000000005,2.9340000000000002,0.188,0.505,2.0,0.071999999999999995
637,none,-0.16900000000000001,2.5289999999999999,0.0060000000000000001,1.0,0.0,-0.0040000000000000001,0.49299999999999999,0.0,16.456,0.056000000000000001,0.27300000000000002,0.23999999999999999,0.076999999999999999,0.0,0.0,0.59999999999999998,0.93000000000000005,1.0,0.0,0.66700000000000004,0.40500000000000003,0.0,0.0,0.0,1.0,1.0,0.54300000000000004,3.3109999999999999,0.23000000000000001,0.51700000000000002,2.0,0.16600000000000001
638,none,-0.34499999999999997,2.4350000000000001,0.033000000000000002,1.0,0.0,-0.0030000000000000001,0.49299999999999999,0.0,14.901999999999999,0.112,0.28299999999999997,0.13600000000000001,0.085999999999999993,0.0,0.0,0.58699999999999997,0.89500000000000002,1.0,0.0,0.66700000000000004,0.40500000000000003,0.0,0.0,0.0,1.0,1.0,0.56200000000000006,3.262,0.23000000000000001,0.503,2.0,0.154
639,none,0.58299999999999996,1.744,-0.017000000000000001,0.0,0.0,-0.062,0.49299999999999999,0.0,8.1129999999999995,-0.068000000000000005,0.127,0.71699999999999997,0.021000000000000001,-1.0069999999999999,0.64900000000000002,0.24099999999999999,0.93999999999999995,1.0,0.0,0.90000000000000002,0.41399999999999998,0.0,0.0,0.0,0.0,3.0,0.627,3.431,0.16700000000000001,0.47099999999999997,1.0,0.039
640,none,-0.63500000000000001,1.9930000000000001,0.0030000000000000001,1.0,0.0,0.047,0.73999999999999999,0.0,7.2450000000000001,-0.216,0.29899999999999999,0.21299999999999999,0.0050000000000000001,0.0,0.0,0.29999999999999999,0.51100000000000001,0.0,0.0,0.88900000000000001,0.52900000000000003,0.0,0.0,0.0,0.0,2.0,0.56699999999999995,3.181,0.23599999999999999,0.442,2.0,0.065000000000000002
641,none,1.1160000000000001,1.3779999999999999,-0.052999999999999999,0.0,0.0,-0.13100000000000001,0.318,0.0,8.9559999999999995,-0.34300000000000003,0.158,0.77500000000000002,0.060999999999999999,-0.81799999999999995,0.378,0.14099999999999999,0.66700000000000004,0.0,0.0,0.51800000000000002,0.70599999999999996,0.0,-1.0,0.0,0.0,3.0,0.78900000000000003,2.734,0.16900000000000001,0.39400000000000002,1.0,0.11600000000000001
642,none,-0.18099999999999999,2.5430000000000001,0.014999999999999999,1.0,0.0,-0.002,0.56399999999999995,0.0,9.516,0.021000000000000001,0.35599999999999998,0.19600000000000001,0.0,0.0,0.0,0.39200000000000002,0.62,1.0,0.0,0.71599999999999997,0.54800000000000004,0.0,0.0,0.0,1.0,1.0,0.60199999999999998,3.9430000000000001,0.218,0.49199999999999999,1.0,0.20799999999999999
