molid,identifiere,X0,X1,X2,X3,X4,X5,X0A,X1A,X2A,X3A,X4A,X5A,X0v,X1v,X2v,X3v,X4v,X5v,X0Av,X1Av,X2Av,X3Av,X4Av,X5Av,X0sol,X1sol,X2sol,X3sol,X4sol,X5sol,XMOD,RDCHI,RDSQ
16,C5H12O,4.8280000000000003,2.9140000000000001,1.7070000000000001,0.95699999999999996,0.5,0.25,0.80500000000000005,0.58299999999999996,0.42699999999999999,0.31900000000000001,0.25,0.25,4.2759999999999998,2.5230000000000001,1.431,0.76200000000000001,0.36199999999999999,0.112,0.71299999999999997,0.505,0.35799999999999998,0.254,0.18099999999999999,0.112,4.8280000000000003,2.9140000000000001,1.7070000000000001,0.95699999999999996,0.5,0.25,18.192,1.6779999999999999,15.052
17,C8H10O,6.6900000000000004,4.3049999999999997,3.6419999999999999,2.593,1.8009999999999999,1.25,0.74299999999999999,0.47799999999999998,0.33100000000000002,0.216,0.14999999999999999,0.104,5.4109999999999996,3.0350000000000001,2.0870000000000002,1.282,0.73199999999999998,0.41699999999999998,0.60099999999999998,0.33700000000000002,0.19,0.107,0.060999999999999999,0.035000000000000003,6.6900000000000004,4.3049999999999997,3.6419999999999999,2.593,1.8009999999999999,1.25,26.405000000000001,2.048,39.863999999999997
18,C8H10O,6.6900000000000004,4.3049999999999997,3.6419999999999999,2.593,1.8009999999999999,1.25,0.74299999999999999,0.47799999999999998,0.33100000000000002,0.216,0.14999999999999999,0.104,5.4109999999999996,3.0350000000000001,2.0870000000000002,1.282,0.73199999999999998,0.41699999999999998,0.60099999999999998,0.33700000000000002,0.19,0.107,0.060999999999999999,0.035000000000000003,6.6900000000000004,4.3049999999999997,3.6419999999999999,2.593,1.8009999999999999,1.25,26.405000000000001,2.048,39.863999999999997
19,C3H8O,3.4140000000000001,1.9139999999999999,1.0,0.5,0.0,0.0,0.85399999999999998,0.63800000000000001,0.5,0.5,0.0,0.0,2.8610000000000002,1.5229999999999999,0.72399999999999998,0.224,0.0,0.0,0.71499999999999997,0.50800000000000001,0.36199999999999999,0.224,0.0,0.0,3.4140000000000001,1.9139999999999999,1.0,0.5,0.0,0.0,12.192,1.3340000000000001,6.782
20,C10H18O,8.1129999999999995,5.0650000000000004,5.5049999999999999,4.4560000000000004,3.3359999999999999,2.637,0.73799999999999999,0.42199999999999999,0.27500000000000002,0.17100000000000001,0.10100000000000001,0.069000000000000006,7.8140000000000001,4.766,4.7709999999999999,3.6560000000000001,2.5920000000000001,1.982,0.70999999999999996,0.39700000000000002,0.23899999999999999,0.14099999999999999,0.079000000000000001,0.051999999999999998,8.1129999999999995,5.0650000000000004,5.5049999999999999,4.4560000000000004,3.3359999999999999,2.637,31.094999999999999,2.1640000000000001,67.153000000000006
21,C4H8O,4.2839999999999998,2.27,1.802,0.81599999999999995,0.0,0.0,0.85699999999999998,0.56799999999999995,0.45100000000000001,0.40799999999999997,0.0,0.0,3.6150000000000002,1.7649999999999999,1.056,0.498,0.0,0.0,0.72299999999999998,0.441,0.26400000000000001,0.249,0.0,0.0,4.2839999999999998,2.27,1.802,0.81599999999999995,0.0,0.0,14.198,1.401,11.505000000000001
22,C7H14O,6.4059999999999997,3.77,2.8900000000000001,1.385,0.80300000000000005,0.433,0.80100000000000005,0.53900000000000003,0.41299999999999998,0.27700000000000002,0.20100000000000001,0.14399999999999999,5.7370000000000001,3.2650000000000001,2.1589999999999998,1.1319999999999999,0.624,0.30099999999999999,0.71699999999999997,0.46600000000000003,0.308,0.22600000000000001,0.156,0.10000000000000001,6.4059999999999997,3.77,2.8900000000000001,1.385,0.80300000000000005,0.433,23.198,1.909,25.922000000000001
23,C6H12O,5.6989999999999998,3.27,2.536,1.135,0.61199999999999999,0.40799999999999997,0.81399999999999995,0.54500000000000004,0.42299999999999999,0.28399999999999997,0.20399999999999999,0.20399999999999999,5.0300000000000002,2.7650000000000001,1.806,0.88200000000000001,0.42599999999999999,0.249,0.71899999999999997,0.46100000000000002,0.30099999999999999,0.221,0.14199999999999999,0.124,5.6989999999999998,3.27,2.536,1.135,0.61199999999999999,0.40799999999999997,20.198,1.746,20.821000000000002
24,C6H10O,5.6989999999999998,3.3079999999999998,2.302,1.478,0.69699999999999995,0.20399999999999999,0.81399999999999995,0.55100000000000005,0.38400000000000001,0.29599999999999999,0.23200000000000001,0.20399999999999999,4.7699999999999996,2.4279999999999999,1.474,0.71199999999999997,0.37,0.048000000000000001,0.68100000000000005,0.40500000000000003,0.246,0.14199999999999999,0.123,0.048000000000000001,5.6989999999999998,3.3079999999999998,2.302,1.478,0.69699999999999995,0.20399999999999999,20.555,1.7230000000000001,21.193999999999999
25,C8H16O,7.1130000000000004,4.2699999999999996,3.2429999999999999,1.635,0.97899999999999998,0.56799999999999995,0.79000000000000004,0.53400000000000003,0.40500000000000003,0.27300000000000002,0.19600000000000001,0.14199999999999999,6.444,3.7650000000000001,2.5129999999999999,1.3819999999999999,0.80100000000000005,0.441,0.71599999999999997,0.47099999999999997,0.314,0.23000000000000001,0.16,0.11,7.1130000000000004,4.2699999999999996,3.2429999999999999,1.635,0.97899999999999998,0.56799999999999995,26.198,2.0670000000000002,31.274999999999999
26,C8H10O,6.5270000000000001,4.4320000000000004,3.2930000000000001,2.4220000000000002,1.8839999999999999,1.3089999999999999,0.72499999999999998,0.49199999999999999,0.32900000000000001,0.22,0.157,0.109,5.2480000000000002,3.0800000000000001,1.9590000000000001,1.2430000000000001,0.77400000000000002,0.442,0.58299999999999996,0.34200000000000003,0.19600000000000001,0.113,0.064000000000000001,0.036999999999999998,6.5270000000000001,4.4320000000000004,3.2930000000000001,2.4220000000000002,1.8839999999999999,1.3089999999999999,27.297999999999998,2.1339999999999999,38.405000000000001
