molid,identifiere,GGI1,GGI2,GGI3,GGI4,GGI5,GGI6,GGI7,GGI8,GGI9,GGI10,JGI1,JGI2,JGI3,JGI4,JGI5,JGI6,JGI7,JGI8,JGI9,JGI10,JGT
110,C8H16O,0.5,0.222,0.125,0.080000000000000002,0.056000000000000001,0.041000000000000002,0.031,0.0,0.0,0.0,0.063,0.032000000000000001,0.021000000000000001,0.016,0.014,0.014,0.016,0.0,0.0,0.0,0.17399999999999999
111,C10H20O2,1.5,0.44400000000000001,0.25,0.16,0.111,0.082000000000000003,0.062,0.049000000000000002,0.040000000000000001,0.0,0.13600000000000001,0.040000000000000001,0.028000000000000001,0.02,0.016,0.014,0.012,0.012,0.012999999999999999,0.0,0.29199999999999998
112,C9H18O2,1.5,0.44400000000000001,0.25,0.16,0.111,0.082000000000000003,0.062,0.049000000000000002,0.0,0.0,0.14999999999999999,0.043999999999999997,0.031,0.023,0.019,0.016,0.016,0.016,0.0,0.0,0.315
113,C13H16O2,2.5,1.556,0.56299999999999994,0.23100000000000001,0.20100000000000001,0.224,0.128,0.073999999999999996,0.041000000000000002,0.012,0.16700000000000001,0.085999999999999993,0.033000000000000002,0.019,0.02,0.021999999999999999,0.012999999999999999,0.0089999999999999993,0.01,0.012,0.39300000000000002
114,C3H6O2,1.5,0.44400000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.375,0.111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48599999999999999
115,C9H10O,1.5,1.111,0.438,0.191,0.153,0.040000000000000001,0.0,0.0,0.0,0.0,0.14999999999999999,0.092999999999999999,0.040000000000000001,0.027,0.037999999999999999,0.040000000000000001,0.0,0.0,0.0,0.0,0.38800000000000001
116,C5H10O2,1.5,0.44400000000000001,0.25,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.073999999999999996,0.063,0.052999999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.44
117,C7H14O2,1.5,0.66700000000000004,0.375,0.16,0.056000000000000001,0.041000000000000002,0.0,0.0,0.0,0.0,0.188,0.083000000000000004,0.053999999999999999,0.027,0.014,0.02,0.0,0.0,0.0,0.0,0.38500000000000001
118,C10H20O2,1.5,0.66700000000000004,0.375,0.23999999999999999,0.111,0.082000000000000003,0.031,0.025000000000000001,0.02,0.0,0.13600000000000001,0.060999999999999999,0.037999999999999999,0.027,0.014,0.014,0.0060000000000000001,0.0080000000000000002,0.01,0.0,0.313
119,C6H12O2,1.5,0.66700000000000004,0.25,0.16,0.056000000000000001,0.0,0.0,0.0,0.0,0.0,0.214,0.095000000000000001,0.042000000000000003,0.040000000000000001,0.019,0.0,0.0,0.0,0.0,0.0,0.40999999999999998
120,C9H7N,1.0,0.88900000000000001,0.25,0.28399999999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.090999999999999998,0.063,0.021000000000000001,0.047,0.0,0.0,0.0,0.0,0.0,0.0,0.223
121,C13H20O,4.5,2.444,1.375,0.72399999999999998,0.53500000000000003,0.082000000000000003,0.056000000000000001,0.0,0.0,0.0,0.32100000000000001,0.122,0.071999999999999995,0.048000000000000001,0.052999999999999999,0.0070000000000000001,0.028000000000000001,0.0,0.0,0.0,0.65300000000000002
122,C9H8O,1.0,0.44400000000000001,0.188,0.151,0.089999999999999997,0.059999999999999998,0.028000000000000001,0.0,0.0,0.0,0.10000000000000001,0.040000000000000001,0.021000000000000001,0.025000000000000001,0.017999999999999999,0.02,0.028000000000000001,0.0,0.0,0.0,0.252
123,C5H10O,0.5,0.222,0.125,0.080000000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.10000000000000001,0.056000000000000001,0.042000000000000003,0.040000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.23699999999999999
124,C5H10O2,1.5,0.44400000000000001,0.25,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.073999999999999996,0.063,0.052999999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.44
125,C11H14O,1.5,1.111,0.56299999999999994,0.27100000000000002,0.153,0.059999999999999998,0.042999999999999997,0.02,0.0,0.0,0.125,0.079000000000000001,0.042999999999999997,0.027,0.019,0.012,0.014,0.02,0.0,0.0,0.34100000000000003
126,C14H20O,2.0,0.66700000000000004,0.56299999999999994,0.39100000000000001,0.17399999999999999,0.16200000000000001,0.070999999999999994,0.033000000000000002,0.025999999999999999,0.012,0.13300000000000001,0.039,0.035000000000000003,0.028000000000000001,0.012,0.012999999999999999,0.0089999999999999993,0.0070000000000000001,0.0089999999999999993,0.012,0.29799999999999999
127,C11H22O2,1.5,0.66700000000000004,0.25,0.16,0.111,0.082000000000000003,0.062,0.049000000000000002,0.040000000000000001,0.017000000000000001,0.125,0.056000000000000001,0.023,0.017999999999999999,0.014,0.012,0.01,0.01,0.01,0.0060000000000000001,0.28199999999999997
128,C12H16O2,2.0,0.88900000000000001,0.438,0.151,0.20100000000000001,0.14199999999999999,0.066000000000000003,0.052999999999999999,0.025999999999999999,0.012,0.14299999999999999,0.056000000000000001,0.031,0.014,0.021999999999999999,0.016,0.0080000000000000002,0.0089999999999999993,0.0089999999999999993,0.012,0.32000000000000001
129,C14H18O2,2.0,0.66700000000000004,0.56299999999999994,0.39100000000000001,0.17399999999999999,0.14099999999999999,0.074999999999999997,0.033000000000000002,0.025999999999999999,0.021000000000000001,0.125,0.036999999999999998,0.035000000000000003,0.028000000000000001,0.012999999999999999,0.012999999999999999,0.0080000000000000002,0.0040000000000000001,0.0040000000000000001,0.0040000000000000001,0.27200000000000002
130,C9H16O,0.5,0.222,0.125,0.080000000000000002,0.056000000000000001,0.041000000000000002,0.031,0.025000000000000001,0.0,0.0,0.056000000000000001,0.028000000000000001,0.017999999999999999,0.012999999999999999,0.010999999999999999,0.01,0.01,0.012,0.0,0.0,0.159
131,C12H22O2,4.0,1.556,1.1879999999999999,0.85299999999999998,0.68799999999999994,0.080000000000000002,0.0,0.0,0.0,0.0,0.28599999999999998,0.082000000000000003,0.066000000000000003,0.050000000000000003,0.052999999999999999,0.0080000000000000002,0.0,0.0,0.0,0.0,0.54500000000000004
132,C12H22O2,4.0,1.556,1.1879999999999999,0.85299999999999998,0.68799999999999994,0.080000000000000002,0.0,0.0,0.0,0.0,0.28599999999999998,0.082000000000000003,0.066000000000000003,0.050000000000000003,0.052999999999999999,0.0080000000000000002,0.0,0.0,0.0,0.0,0.54500000000000004
133,C13H22O2,3.5,1.333,0.625,0.23999999999999999,0.38900000000000001,0.16300000000000001,0.094,0.049000000000000002,0.080000000000000002,0.033000000000000002,0.25,0.083000000000000004,0.044999999999999998,0.02,0.035000000000000003,0.014,0.012,0.0080000000000000002,0.016,0.0070000000000000001,0.48899999999999999
134,C9H11O2N,2.0,1.556,1.0,0.38200000000000001,0.20799999999999999,0.059999999999999998,0.028000000000000001,0.0,0.0,0.0,0.16700000000000001,0.104,0.067000000000000004,0.032000000000000001,0.029999999999999999,0.014999999999999999,0.028000000000000001,0.0,0.0,0.0,0.442
135,C13H24O2,1.5,0.66700000000000004,0.375,0.16,0.111,0.082000000000000003,0.062,0.049000000000000002,0.040000000000000001,0.033000000000000002,0.107,0.048000000000000001,0.029000000000000001,0.012999999999999999,0.010999999999999999,0.0089999999999999993,0.0080000000000000002,0.0070000000000000001,0.0070000000000000001,0.0070000000000000001,0.245
136,C10H14O3,1.5,1.111,0.40300000000000002,0.33000000000000002,0.13600000000000001,0.096000000000000002,0.041000000000000002,0.031,0.025000000000000001,0.0,0.115,0.073999999999999996,0.034000000000000002,0.029999999999999999,0.017000000000000001,0.014,0.0070000000000000001,0.0080000000000000002,0.012,0.0,0.311
137,C12H16O3,2.5,1.333,0.438,0.311,0.14599999999999999,0.14199999999999999,0.16800000000000001,0.10299999999999999,0.059999999999999998,0.025000000000000001,0.16700000000000001,0.073999999999999996,0.027,0.028000000000000001,0.014999999999999999,0.016,0.019,0.010999999999999999,0.01,0.012,0.379
138,C13H16O3,2.0,1.556,1.0,0.46200000000000002,0.26400000000000001,0.14199999999999999,0.106,0.057000000000000002,0.045999999999999999,0.021000000000000001,0.125,0.082000000000000003,0.052999999999999999,0.029000000000000001,0.021999999999999999,0.014,0.012,0.0070000000000000001,0.0080000000000000002,0.0050000000000000001,0.35599999999999998
139,C15H26O2,4.5,1.333,1.0,0.32000000000000001,0.44400000000000001,0.16300000000000001,0.188,0.073999999999999996,0.10000000000000001,0.033000000000000002,0.28100000000000003,0.070000000000000007,0.063,0.02,0.034000000000000002,0.012,0.019,0.0070000000000000001,0.014,0.0050000000000000001,0.52500000000000002
140,C13H26O2,1.5,0.66700000000000004,0.25,0.16,0.111,0.082000000000000003,0.062,0.049000000000000002,0.040000000000000001,0.033000000000000002,0.107,0.048000000000000001,0.019,0.014999999999999999,0.010999999999999999,0.0089999999999999993,0.0080000000000000002,0.0070000000000000001,0.0070000000000000001,0.0070000000000000001,0.23699999999999999
141,C5H10O3,2.0,1.111,0.375,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.28599999999999998,0.13900000000000001,0.053999999999999999,0.040000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.51800000000000002
