molID,identifier,"('TOPOLOGICAL', 'TI2')","('WALK_PATH_COUNTS', 'MPC04')","('CONNECTIVITY_INDICES', 'X2v')","('INFORMATION_INDICES', 'HVcpx')","('TWOD_AUTOCORRELATIONS', 'GATS1m')","('RDF', 'RDF110m')","('WHIM', 'G2v')","('GETAWAY', 'HATS2u')","('GETAWAY', 'HATS0p')","('GETAWAY', 'R4m+')","('GETAWAY', 'R2e')","('GETAWAY', 'R6p')","('GETAWAY', 'R6p')","('GETAWAY', 'RTp+')","('ATOMCENTRED_FRAGMENTS', 'H-049')","('ATOMCENTRED_FRAGMENTS', 'O-057')","('MOLECULAR_PROPERTIES', 'Hy')","('MOLECULAR_PROPERTIES', 'TPSA(NO)')","('MOLECULAR_PROPERTIES', 'TPSA(Tot)')"
21,none,1.542,0.0,1.056,1.732,0.625,0.0,0.21299999999999999,0.82599999999999996,0.14899999999999999,0.014,1.7629999999999999,0.0,0.0,0.063,0.0,0.0,-0.71899999999999997,17.07,17.07
22,none,2.9990000000000001,4.0,2.1589999999999998,2.4329999999999998,0.57099999999999995,0.0,0.183,0.503,0.095000000000000001,0.017999999999999999,1.8169999999999999,0.13800000000000001,0.13800000000000001,0.050000000000000003,0.0,0.0,-0.82799999999999996,17.07,17.07
23,none,2.5350000000000001,3.0,1.806,2.246,0.58299999999999996,0.0,0.191,0.57499999999999996,0.108,0.035000000000000003,1.798,0.10299999999999999,0.10299999999999999,0.052999999999999999,0.0,0.0,-0.80200000000000005,17.07,17.07
24,none,2.1949999999999998,3.0,1.474,2.2050000000000001,0.58299999999999996,0.0,0.19700000000000001,0.59299999999999997,0.14399999999999999,0.032000000000000001,1.679,0.108,0.108,0.070999999999999994,1.0,0.0,-0.80200000000000005,17.07,17.07
25,none,3.4489999999999998,5.0,2.5129999999999999,2.6230000000000002,0.56299999999999994,0.0,0.248,0.44900000000000001,0.085000000000000006,0.016,1.8400000000000001,0.159,0.159,0.045999999999999999,0.0,0.0,-0.84799999999999998,17.07,17.07
26,none,2.036,12.0,1.9590000000000001,2.383,0.5,0.0,1.0,0.48799999999999999,0.13100000000000001,0.028000000000000001,1.6479999999999999,0.114,0.114,0.069000000000000006,0.0,0.0,-0.21299999999999999,20.23,20.23
27,none,2.036,12.0,2.024,2.383,0.5,0.0,0.376,0.47899999999999998,0.124,0.021999999999999999,1.6659999999999999,0.14000000000000001,0.14000000000000001,0.069000000000000006,0.0,0.0,0.63,26.02,26.02
28,none,1.887,18.0,3.7040000000000002,2.355,0.5,0.0,0.17100000000000001,0.41299999999999998,0.083000000000000004,0.049000000000000002,1.9690000000000001,0.249,0.249,0.044999999999999998,0.0,0.0,-0.877,17.07,17.07
29,none,1.887,18.0,3.7040000000000002,2.355,0.5,0.0,0.17100000000000001,0.41599999999999998,0.083000000000000004,0.034000000000000002,1.972,0.248,0.248,0.047,0.0,0.0,-0.877,17.07,17.07
30,none,1.887,18.0,3.7040000000000002,2.355,0.5,0.0,0.17100000000000001,0.41599999999999998,0.083000000000000004,0.034000000000000002,1.972,0.248,0.248,0.047,0.0,0.0,-0.877,17.07,17.07
