molid,identifiere,Ui,Hy,AMR,TPSA(NO),TPSA(Tot),MLOGP,MLOGP2,ALOGP,ALOGP2,LAI,GVWAI-80,GVWAI-50,Inflammat-80,Inflammat-50,Depressant-80,Depressant-50,Psychotic-80,Psychotic-50,Hypertens-80,Hypertens-50,Hypnotic-80,Hypnotic-50,Neoplastic-80,Neoplastic-50,Infective-80,Infective-50,BLTF96,BLTD48,BLTA96,ALOGPS_logP,ALOGPS_logS
309,C12H20O2,1.0,-0.83499999999999996,54.465000000000003,26.300000000000001,26.300000000000001,2.8610000000000002,8.1859999999999999,2.3540000000000001,5.5430000000000001,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,-3.8199999999999998,-4.04,-4.0899999999999999,3.5,-3.5099999999999998
310,Mol.14 - Error,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,3.9300000000000002,-3.71
311,Mol.15 - Error,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,4.8099999999999996,-4.4500000000000002
312,Mol.16 - Error,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,1.74,-1.1799999999999999
313,C8H14O3,1.585,-0.70199999999999996,41.052,43.369999999999997,43.369999999999997,1.117,1.2470000000000001,0.98399999999999999,0.96799999999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.3399999999999999,-2.3799999999999999,-2.3500000000000001,0.98999999999999999,-1.48
314,C4H10O,0.0,0.13200000000000001,22.004999999999999,20.23,20.23,0.80000000000000004,0.64000000000000001,0.83399999999999996,0.69499999999999995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0699999999999998,-2.0800000000000001,-2.0299999999999998,0.59999999999999998,0.28000000000000003
315,C11H15NO2,3.0,0.47699999999999998,56.158999999999999,52.32,52.32,2.8889999999999998,8.3450000000000006,2.2679999999999998,5.1420000000000003,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,-3.8500000000000001,-4.0599999999999996,-4.1200000000000001,2.8700000000000001,-2.6000000000000001
316,C15H24O,2.8069999999999999,-0.41299999999999998,70.125,20.23,20.23,4.1769999999999996,17.449999999999999,4.8499999999999996,23.518999999999998,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-4.9400000000000004,-5.29,-5.4100000000000001,5.25,-4.1600000000000001
317,C11H14O2,3.0,-0.82199999999999995,51.329999999999998,26.300000000000001,26.300000000000001,2.9460000000000002,8.6760000000000002,2.8769999999999998,8.2780000000000005,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,-3.8900000000000001,-4.1200000000000001,-4.1799999999999997,3.27,-3.23
318,C8H16O2,1.0,-0.76800000000000002,40.514000000000003,26.300000000000001,26.300000000000001,2.0600000000000001,4.2439999999999998,2.4729999999999999,6.1150000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.1400000000000001,-3.2799999999999998,-3.29,2.8199999999999998,-2.02
