molid,identifiere,ISIZ,IAC,AAC,IDE,IDM,IDDE,IDDM,IDET,IDMT,IVDE,IVDM,HVcpx,HDcpx,Uindex,Vindex,Xindex,Yindex,IC0,TIC0,SIC0,CIC0,BIC0,IC1,TIC1,SIC1,CIC1,BIC1,IC2,TIC2,SIC2,CIC2,BIC2,IC3,TIC3,SIC3,CIC3,BIC3,IC4,TIC4,SIC4,CIC4,BIC4,IC5,TIC5,SIC5,CIC5,BIC5
1015,C4H8O2,53.302999999999997,19.303000000000001,1.379,2.149,3.7040000000000002,1.585,2.5529999999999999,32.238999999999997,129.65100000000001,0.91800000000000004,2.5219999999999998,2.2519999999999998,1.1479999999999999,11.598000000000001,0.73699999999999999,1.0840000000000001,1.958,1.379,19.303000000000001,0.36199999999999999,2.4289999999999998,0.36199999999999999,2.7530000000000001,38.548000000000002,0.72299999999999998,1.054,0.72299999999999998,3.093,43.302999999999997,0.81200000000000006,0.71399999999999997,0.81200000000000006,3.379,47.302999999999997,0.88700000000000001,0.42899999999999999,0.88700000000000001,3.379,47.302999999999997,0.88700000000000001,0.42899999999999999,0.88700000000000001,3.085,43.189,0.81000000000000005,0.72199999999999998,0.81000000000000005
1016,C4H9O2Cl,64.0,25.471,1.5920000000000001,1.95,4.2409999999999997,1.4490000000000001,2.7719999999999998,40.954000000000001,203.54900000000001,1.4490000000000001,2.6890000000000001,2.0009999999999999,1.244,14.558999999999999,0.89900000000000002,1.21,2.9329999999999998,1.5920000000000001,25.471,0.39800000000000002,2.4079999999999999,0.40699999999999997,1.9670000000000001,31.471,0.49199999999999999,2.0329999999999999,0.503,2.6560000000000001,42.490000000000002,0.66400000000000003,1.3440000000000001,0.68000000000000005,2.6560000000000001,42.490000000000002,0.66400000000000003,1.3440000000000001,0.68000000000000005,2.4729999999999999,39.566000000000003,0.61799999999999999,1.5269999999999999,0.63300000000000001,1.6859999999999999,26.972999999999999,0.42099999999999999,2.3140000000000001,0.43099999999999999
1017,C6H12O3,92.239000000000004,28.954000000000001,1.379,1.9590000000000001,5.0259999999999998,1.585,3.1509999999999998,70.528999999999996,422.161,1.585,3.044,2.0489999999999999,1.355,14.127000000000001,0.59499999999999997,0.81699999999999995,1.903,1.379,28.954000000000001,0.314,3.0139999999999998,0.314,1.6639999999999999,34.954000000000001,0.379,2.7280000000000002,0.379,2.1280000000000001,44.689999999999998,0.48499999999999999,2.2639999999999998,0.48499999999999999,2.1280000000000001,44.689999999999998,0.48499999999999999,2.2639999999999998,0.48499999999999999,2.1280000000000001,44.689999999999998,0.48499999999999999,2.2639999999999998,0.48499999999999999,2.1280000000000001,44.689999999999998,0.48499999999999999,2.2639999999999998,0.48499999999999999
1051,C8H16O4,134.60599999999999,38.606000000000002,1.379,2.3319999999999999,5.8869999999999996,0.91800000000000004,3.569,153.91,1106.7260000000001,1.585,3.4590000000000001,2.3759999999999999,1.4630000000000001,21.774000000000001,0.51500000000000001,0.74099999999999999,1.5720000000000001,1.379,38.606000000000002,0.28699999999999998,3.4289999999999998,0.28699999999999998,1.6639999999999999,46.606000000000002,0.34599999999999997,3.1429999999999998,0.34599999999999997,2.1280000000000001,59.585999999999999,0.443,2.6789999999999998,0.443,2.1280000000000001,59.585999999999999,0.443,2.6789999999999998,0.443,2.1280000000000001,59.585999999999999,0.443,2.6789999999999998,0.443,2.1280000000000001,59.585999999999999,0.443,2.6789999999999998,0.443
1052,C5H8O2,58.603000000000002,20.994,1.3999999999999999,2.2130000000000001,4.1959999999999997,2.2360000000000002,2.7759999999999998,46.463999999999999,218.184,1.4490000000000001,2.6890000000000001,2.246,1.23,14.906000000000001,0.75800000000000001,1.1080000000000001,2.1070000000000002,1.3999999999999999,20.994,0.35799999999999998,2.5070000000000001,0.34999999999999998,2.8159999999999998,42.238999999999997,0.72099999999999997,1.091,0.70399999999999996,3.323,49.847999999999999,0.85099999999999998,0.58399999999999996,0.83099999999999996,3.323,49.847999999999999,0.85099999999999998,0.58399999999999996,0.83099999999999996,3.323,49.847999999999999,0.85099999999999998,0.58399999999999996,0.83099999999999996,3.0270000000000001,45.405000000000001,0.77500000000000002,0.88,0.75700000000000001
1054,C6H12O2,86.438999999999993,25.908999999999999,1.2949999999999999,2.2080000000000002,4.6319999999999997,2.5,2.9700000000000002,61.835000000000001,328.88299999999998,1.5,2.8420000000000001,2.226,1.298,18.449999999999999,0.81999999999999995,1.1659999999999999,2.4510000000000001,1.2949999999999999,25.908999999999999,0.29999999999999999,3.0259999999999998,0.29999999999999999,1.9330000000000001,38.664000000000001,0.44700000000000001,2.3889999999999998,0.44700000000000001,2.6949999999999998,53.908999999999999,0.624,1.6259999999999999,0.624,3.109,62.173999999999999,0.71899999999999997,1.2130000000000001,0.71899999999999997,3.109,62.173999999999999,0.71899999999999997,1.2130000000000001,0.71899999999999997,2.8220000000000001,56.438000000000002,0.65300000000000002,1.5,0.65300000000000002
1055,C9H16O4,140.881,40.351999999999997,1.391,3.2130000000000001,6.008,2.4700000000000002,3.6720000000000002,250.61699999999999,2066.7370000000001,1.4199999999999999,3.605,3.0489999999999999,1.4670000000000001,43.210999999999999,0.52800000000000002,0.873,1.306,1.391,40.351999999999997,0.28599999999999998,3.4670000000000001,0.28399999999999997,2.2749999999999999,65.968999999999994,0.46800000000000003,2.5830000000000002,0.46400000000000002,2.859,82.906999999999996,0.58799999999999997,1.9990000000000001,0.58299999999999996,3.2890000000000001,95.372,0.67700000000000005,1.569,0.67000000000000004,3.4790000000000001,100.881,0.71599999999999997,1.379,0.70899999999999996,3.4790000000000001,100.881,0.71599999999999997,1.379,0.70899999999999996
1056,C5H9O4N,80.710999999999999,32.572000000000003,1.714,2.5110000000000001,5.29,2.722,3.294,113.001,719.404,1.4850000000000001,3.1549999999999998,2.4489999999999998,1.385,27.138999999999999,0.73999999999999999,1.105,2.0979999999999999,1.714,32.572000000000003,0.40400000000000003,2.5339999999999998,0.39700000000000002,3.1110000000000002,59.100999999999999,0.73199999999999998,1.137,0.71999999999999997,3.6160000000000001,68.710999999999999,0.85099999999999998,0.63200000000000001,0.83699999999999997,3.827,72.710999999999999,0.90100000000000002,0.42099999999999999,0.88500000000000001,3.9319999999999999,74.710999999999999,0.92600000000000005,0.316,0.91000000000000003,3.8370000000000002,72.894999999999996,0.90300000000000002,0.41099999999999998,0.88800000000000001
1057,C6H14O2,98.106999999999999,27.295000000000002,1.2410000000000001,2.6099999999999999,4.5679999999999996,2.0,2.9660000000000002,73.079999999999998,383.68000000000001,0.81100000000000005,2.9500000000000002,2.625,1.2809999999999999,18.827000000000002,0.61699999999999999,0.97099999999999997,1.5740000000000001,1.2410000000000001,27.295000000000002,0.27800000000000002,3.2189999999999999,0.28199999999999997,1.4910000000000001,32.805,0.33400000000000002,2.968,0.33900000000000002,2.2999999999999998,50.597999999999999,0.51600000000000001,2.1600000000000001,0.52400000000000002,2.6640000000000001,58.597999999999999,0.59699999999999998,1.796,0.60599999999999998,2.6640000000000001,58.597999999999999,0.59699999999999998,1.796,0.60599999999999998,2.6640000000000001,58.597999999999999,0.59699999999999998,1.796,0.60599999999999998
1058,C12H22O,179.52500000000001,38.398000000000003,1.097,2.1110000000000002,6.1539999999999999,3.3929999999999998,3.6819999999999999,164.697,1255.4739999999999,1.669,3.5659999999999998,2.1680000000000001,1.498,18.834,0.48399999999999999,0.65400000000000003,1.7250000000000001,1.097,38.398000000000003,0.214,4.032,0.21199999999999999,1.875,65.635000000000005,0.36599999999999999,3.254,0.36299999999999999,2.9700000000000002,103.95699999999999,0.57899999999999996,2.1589999999999998,0.57499999999999996,4.0140000000000002,140.505,0.78300000000000003,1.115,0.77600000000000002,4.343,152.01499999999999,0.84699999999999998,0.78600000000000003,0.83999999999999997,4.4580000000000002,156.01499999999999,0.86899999999999999,0.67200000000000004,0.86199999999999999
1060,C3H5O2Cl,38.054000000000002,19.689,1.79,1.909,3.742,1.9179999999999999,2.5539999999999998,28.629000000000001,119.735,1.4590000000000001,2.4460000000000002,1.9870000000000001,1.159,11.433999999999999,0.88200000000000001,1.2010000000000001,2.6360000000000001,1.79,19.689,0.51700000000000002,1.6699999999999999,0.51700000000000002,2.4039999999999999,26.443999999999999,0.69499999999999995,1.0549999999999999,0.69499999999999995,2.8450000000000002,31.298999999999999,0.82199999999999995,0.61399999999999999,0.82199999999999995,2.8450000000000002,31.298999999999999,0.82199999999999995,0.61399999999999999,0.82199999999999995,2.419,26.613,0.69899999999999995,1.04,0.69899999999999995,1.4590000000000001,16.050999999999998,0.42199999999999999,2.0,0.42199999999999999
1061,C3H5O2Br,38.054000000000002,19.689,1.79,1.909,3.742,1.9179999999999999,2.5539999999999998,28.629000000000001,119.735,1.4590000000000001,2.4460000000000002,1.9870000000000001,1.159,11.433999999999999,0.88200000000000001,1.2010000000000001,2.6360000000000001,1.79,19.689,0.51700000000000002,1.6699999999999999,0.51700000000000002,2.4039999999999999,26.443999999999999,0.69499999999999995,1.0549999999999999,0.69499999999999995,2.8450000000000002,31.298999999999999,0.82199999999999995,0.61399999999999999,0.82199999999999995,2.8450000000000002,31.298999999999999,0.82199999999999995,0.61399999999999999,0.82199999999999995,2.419,26.613,0.69899999999999995,1.04,0.69899999999999995,1.4590000000000001,16.050999999999998,0.42199999999999999,2.0,0.42199999999999999
1062,C5H12O,75.058999999999997,20.428999999999998,1.135,2.149,3.7040000000000002,1.585,2.5529999999999999,32.238999999999997,129.65100000000001,0.91800000000000004,2.5219999999999998,2.2519999999999998,1.1479999999999999,11.598000000000001,0.73699999999999999,1.0840000000000001,1.958,1.135,20.428999999999998,0.27200000000000002,3.0350000000000001,0.27800000000000002,1.5580000000000001,28.039000000000001,0.374,2.6120000000000001,0.38100000000000001,2.7530000000000001,49.548999999999999,0.66000000000000003,1.417,0.67300000000000004,3.3079999999999998,59.548999999999999,0.79300000000000004,0.86199999999999999,0.80900000000000005,3.3079999999999998,59.548999999999999,0.79300000000000004,0.86199999999999999,0.80900000000000005,3.0310000000000001,54.552,0.72699999999999998,1.139,0.74099999999999999
1063,C2H5ON,28.529,14.92,1.6579999999999999,1.0,2.5030000000000001,0.81100000000000005,1.9710000000000001,6.0,22.529,0.81100000000000005,1.792,1.3280000000000001,0.92900000000000005,5.7949999999999999,1.5920000000000001,1.496,0.0,1.6579999999999999,14.92,0.52300000000000002,1.512,0.52300000000000002,2.419,21.774000000000001,0.76300000000000001,0.751,0.76300000000000001,2.419,21.774000000000001,0.76300000000000001,0.751,0.76300000000000001,2.1560000000000001,19.401,0.68000000000000005,1.014,0.68000000000000005,0.97099999999999997,8.7390000000000008,0.30599999999999999,2.1989999999999998,0.30599999999999999,-999.0,-999.0,-999.0,-999.0,-999.0
1064,C4H10O,58.603000000000002,17.384,1.159,1.8460000000000001,3.1459999999999999,1.522,2.2909999999999999,18.463999999999999,62.929000000000002,0.97099999999999997,2.25,2.0019999999999998,1.0489999999999999,8.593,0.85299999999999998,1.175,2.3399999999999999,1.159,17.384,0.29699999999999999,2.7480000000000002,0.30399999999999999,1.6919999999999999,25.384,0.433,2.2149999999999999,0.44400000000000001,3.0059999999999998,45.094000000000001,0.76900000000000002,0.90100000000000002,0.79000000000000004,3.0059999999999998,45.094000000000001,0.76900000000000002,0.90100000000000002,0.79000000000000004,2.8420000000000001,42.636000000000003,0.72799999999999998,1.0649999999999999,0.747,2.1709999999999998,32.564,0.55600000000000005,1.736,0.56999999999999995
1065,C3H5OF,33.219000000000001,16.855,1.6850000000000001,1.4850000000000001,3.1749999999999998,1.9219999999999999,2.2949999999999999,14.855,53.976999999999997,1.371,2.246,1.732,1.0580000000000001,6.6289999999999996,0.87,1.0589999999999999,2.9830000000000001,1.6850000000000001,16.855,0.50700000000000001,1.6359999999999999,0.50700000000000001,2.161,21.609999999999999,0.65100000000000002,1.161,0.65100000000000002,2.9220000000000002,29.219000000000001,0.88,0.40000000000000002,0.88,2.9220000000000002,29.219000000000001,0.88,0.40000000000000002,0.88,2.7250000000000001,27.254999999999999,0.81999999999999995,0.59599999999999997,0.81999999999999995,1.522,15.218999999999999,0.45800000000000002,1.8,0.45800000000000002
