molid,identifiere,MW,AMW,Sv,Se,Sp,Ss,Mv,Me,Mp,Ms,nAT,nSK,nBT,nBO,nBM,SCBO,ARR,nCIC,nCIR,RBN,RBF,nDB,nTB,nAB,nH,nC,nN,nO,nP,nS,nF,nCL,nBR,nI,nB,nHM,nX,nR03,nR04,nR05,nR06,nR07,nR08,nR09,nR10,nR11,nR12,nBnz
902,C7H6O2,122.13,8.1400000000000006,9.8200000000000003,15.31,10.19,26.329999999999998,0.65000000000000002,1.02,0.68000000000000005,2.9300000000000002,15.0,9.0,15.0,9.0,7.0,13.0,0.66700000000000004,1.0,1.0,1.0,0.067000000000000004,1.0,0.0,6.0,6.0,7.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
903,C10H18O,154.28,5.3200000000000003,15.890000000000001,28.280000000000001,17.309999999999999,22.579999999999998,0.55000000000000004,0.97999999999999998,0.59999999999999998,2.0499999999999998,29.0,11.0,30.0,12.0,0.0,12.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,18.0,10.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
904,Mol.16 - Error,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
905,C6H14O,102.2,4.8700000000000001,10.699999999999999,20.510000000000002,11.779999999999999,16.25,0.51000000000000001,0.97999999999999998,0.56000000000000005,2.3199999999999998,21.0,7.0,20.0,6.0,0.0,6.0,0.0,0.0,0.0,2.0,0.10000000000000001,0.0,0.0,0.0,14.0,6.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
906,C4H4N2,80.099999999999994,8.0099999999999998,6.5899999999999999,10.09,6.7699999999999996,14.0,0.66000000000000003,1.01,0.68000000000000005,2.3300000000000001,10.0,6.0,10.0,6.0,6.0,9.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,6.0,4.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
907,C6H14O2,118.2,5.3700000000000001,11.210000000000001,21.84,12.24,22.5,0.51000000000000001,0.98999999999999999,0.56000000000000005,2.8100000000000001,22.0,8.0,21.0,7.0,0.0,7.0,0.0,0.0,0.0,1.0,0.048000000000000001,0.0,0.0,0.0,14.0,6.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
908,C11H10O,158.21000000000001,7.1900000000000004,14.5,21.75,15.26,24.5,0.66000000000000003,0.98999999999999999,0.68999999999999995,2.04,22.0,12.0,23.0,13.0,11.0,18.5,0.84599999999999997,2.0,3.0,1.0,0.042999999999999997,0.0,0.0,11.0,10.0,11.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0
909,C8H14O2,142.22,5.9299999999999997,13.210000000000001,23.84,14.24,24.670000000000002,0.55000000000000004,0.98999999999999999,0.58999999999999997,2.4700000000000002,24.0,10.0,23.0,9.0,2.0,11.0,0.0,0.0,0.0,5.0,0.217,2.0,0.0,0.0,14.0,8.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
910,C5H7N,81.129999999999995,6.2400000000000002,7.79,12.75,8.2899999999999991,12.0,0.59999999999999998,0.97999999999999998,0.64000000000000001,2.0,13.0,6.0,13.0,6.0,3.0,9.0,0.0,1.0,1.0,0.0,0.0,3.0,0.0,0.0,7.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
911,C7H6O3,138.13,8.6300000000000008,10.33,16.629999999999999,10.65,32.0,0.65000000000000002,1.04,0.67000000000000004,3.2000000000000002,16.0,10.0,16.0,10.0,7.0,14.0,0.59999999999999998,1.0,1.0,1.0,0.063,1.0,0.0,6.0,6.0,7.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
912,C10H12O3,180.22,7.21,15.119999999999999,25.280000000000001,15.93,32.670000000000002,0.59999999999999998,1.01,0.64000000000000001,2.5099999999999998,25.0,13.0,25.0,13.0,7.0,17.0,0.46200000000000002,1.0,1.0,3.0,0.12,1.0,0.0,6.0,12.0,10.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
913,C11H22O,170.33000000000001,5.0099999999999998,18.09,33.049999999999997,19.829999999999998,24.5,0.53000000000000003,0.96999999999999997,0.57999999999999996,2.04,34.0,12.0,33.0,11.0,1.0,12.0,0.0,0.0,0.0,9.0,0.27300000000000002,1.0,0.0,0.0,22.0,11.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
914,C8H7Br,183.05000000000001,11.44,11.48,15.76,12.4,18.420000000000002,0.71999999999999997,0.98999999999999999,0.77000000000000002,2.0499999999999998,16.0,9.0,16.0,9.0,7.0,13.0,0.66700000000000004,1.0,1.0,1.0,0.063,1.0,0.0,6.0,7.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
915,C4H10S2,122.28,7.6399999999999997,9.1699999999999999,15.57,11.1,12.44,0.56999999999999995,0.96999999999999997,0.68999999999999995,2.0699999999999998,16.0,6.0,15.0,5.0,0.0,5.0,0.0,0.0,0.0,3.0,0.20000000000000001,0.0,0.0,0.0,10.0,4.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
916,C11H14O3,194.25,6.9400000000000004,16.719999999999999,28.170000000000002,17.690000000000001,31.829999999999998,0.59999999999999998,1.01,0.63,2.27,28.0,14.0,29.0,15.0,6.0,18.0,0.40000000000000002,2.0,3.0,3.0,0.10299999999999999,0.0,0.0,6.0,14.0,11.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
917,C12H22O2,198.34,5.5099999999999998,19.600000000000001,35.369999999999997,21.280000000000001,30.170000000000002,0.54000000000000004,0.97999999999999998,0.58999999999999997,2.1499999999999999,36.0,14.0,36.0,14.0,1.0,15.0,0.0,1.0,1.0,3.0,0.083000000000000004,1.0,0.0,0.0,22.0,12.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
918,C2H4O2,60.060000000000002,7.5099999999999998,4.2199999999999998,8.4199999999999999,4.4299999999999997,14.5,0.53000000000000003,1.05,0.55000000000000004,3.6299999999999999,8.0,4.0,7.0,3.0,1.0,4.0,0.0,0.0,0.0,1.0,0.14299999999999999,1.0,0.0,0.0,4.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
919,C4H12N2,88.180000000000007,4.9000000000000004,8.9800000000000004,17.620000000000001,9.8200000000000003,14.0,0.5,0.97999999999999998,0.55000000000000004,2.3300000000000001,18.0,6.0,17.0,5.0,0.0,5.0,0.0,0.0,0.0,3.0,0.17599999999999999,0.0,0.0,0.0,12.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
